,pred,y,m_name
0,1.7774734497070312,2.6395572046569096,N
1,1.9467277526855469,0.0009995003330834232,p
2,1.96332585811615,1.3869441499613877,He
3,3.3654098510742188,4.02257999599279,Fe
4,1.7174525260925293,0.0009995003330834232,p
5,4.528758525848389,4.02257999599279,Fe
6,1.717822790145874,2.6395572046569096,N
7,3.1314167976379395,3.4677339054623997,S
8,2.783238649368286,2.6395572046569096,N
9,1.6461284160614014,1.3869441499613877,He
10,0.9348417520523071,1.3869441499613877,He
11,1.5731385946273804,3.4677339054623997,S
12,3.665454626083374,4.02257999599279,Fe
13,1.3658239841461182,1.3869441499613877,He
14,2.4767556190490723,1.3869441499613877,He
15,1.3873014450073242,1.3869441499613877,He
16,2.1069421768188477,2.6395572046569096,N
17,2.055105686187744,1.3869441499613877,He
18,2.5964877605438232,1.3869441499613877,He
19,3.3185009956359863,4.02257999599279,Fe
20,0.2782406806945801,0.0009995003330834232,p
21,0.6364651322364807,1.3869441499613877,He
22,3.811406373977661,3.4677339054623997,S
23,3.3283276557922363,4.02257999599279,Fe
24,3.6080703735351562,3.4677339054623997,S
25,2.248920440673828,2.6395572046569096,N
26,3.6389870643615723,4.02257999599279,Fe
27,2.497415542602539,2.6395572046569096,N
28,3.3441739082336426,4.02257999599279,Fe
29,1.4175090789794922,1.3869441499613877,He
30,2.789938449859619,3.4677339054623997,S
31,2.4739575386047363,1.3869441499613877,He
32,1.4248344898223877,1.3869441499613877,He
33,1.7618614435195923,0.0009995003330834232,p
34,2.001452922821045,2.6395572046569096,N
35,1.7718513011932373,2.6395572046569096,N
36,3.099435806274414,3.4677339054623997,S
37,-1.0547819137573242,0.0009995003330834232,p
38,-0.9030827283859253,0.0009995003330834232,p
39,2.0458295345306396,2.6395572046569096,N
40,2.8651785850524902,3.4677339054623997,S
41,3.2466821670532227,4.02257999599279,Fe
42,1.248969316482544,2.6395572046569096,N
43,3.755272388458252,4.02257999599279,Fe
44,2.8441851139068604,2.6395572046569096,N
45,3.5586013793945312,3.4677339054623997,S
46,3.097088098526001,3.4677339054623997,S
47,0.620126485824585,0.0009995003330834232,p
48,-0.023372415453195572,0.0009995003330834232,p
49,4.147825241088867,4.02257999599279,Fe
50,2.5212888717651367,1.3869441499613877,He
51,2.4803109169006348,2.6395572046569096,N
52,1.5551073551177979,2.6395572046569096,N
53,1.979610562324524,0.0009995003330834232,p
54,3.6119885444641113,4.02257999599279,Fe
55,3.28572940826416,4.02257999599279,Fe
56,2.1337976455688477,1.3869441499613877,He
57,2.82442307472229,2.6395572046569096,N
58,2.8771743774414062,1.3869441499613877,He
59,4.145052433013916,4.02257999599279,Fe
60,2.4761719703674316,2.6395572046569096,N
61,1.9891095161437988,1.3869441499613877,He
62,3.851555824279785,3.4677339054623997,S
63,2.2390451431274414,3.4677339054623997,S
64,2.5560741424560547,1.3869441499613877,He
65,3.2150306701660156,2.6395572046569096,N
66,3.099701166152954,4.02257999599279,Fe
67,4.1386494636535645,4.02257999599279,Fe
68,-0.48585641384124756,0.0009995003330834232,p
69,-0.18831847608089447,1.3869441499613877,He
70,-0.3950692415237427,0.0009995003330834232,p
71,-0.23798568546772003,0.0009995003330834232,p
72,3.2310547828674316,4.02257999599279,Fe
73,2.7347047328948975,4.02257999599279,Fe
74,2.1999435424804688,0.0009995003330834232,p
75,2.7343029975891113,2.6395572046569096,N
76,3.6180975437164307,4.02257999599279,Fe
77,3.3168792724609375,4.02257999599279,Fe
78,0.8382543921470642,0.0009995003330834232,p
79,1.9252461194992065,2.6395572046569096,N
80,1.4011056423187256,1.3869441499613877,He
81,0.9603053331375122,0.0009995003330834232,p
82,0.10708729922771454,0.0009995003330834232,p
83,1.5892561674118042,1.3869441499613877,He
84,1.3482191562652588,1.3869441499613877,He
85,3.5017004013061523,4.02257999599279,Fe
86,3.5283203125,3.4677339054623997,S
87,0.92994624376297,0.0009995003330834232,p
88,1.2887094020843506,1.3869441499613877,He
89,1.191668152809143,1.3869441499613877,He
90,4.219111442565918,3.4677339054623997,S
91,2.0601296424865723,1.3869441499613877,He
92,1.7292214632034302,1.3869441499613877,He
93,3.153353214263916,4.02257999599279,Fe
94,1.4713904857635498,0.0009995003330834232,p
95,2.607767105102539,3.4677339054623997,S
96,1.5761873722076416,0.0009995003330834232,p
97,2.2967209815979004,2.6395572046569096,N
